P,D,L,R,P_fuzzy_set,P_membership,D_fuzzy_set,D_membership,L_fuzzy_set,L_membership,R_fuzzy_set,R_membership,FRASE,CAT
0.034703177372863436,0.1794852635619095,-0.15792089491801553,0.5969408437843678,ok,0.9132420565678414,acercandose,0.8974263178095475,muy lento hacia atrás,0.7103955254099223,rápidamente hacia delante,0.9694084378436787,"Cuando estés a la distancia requerida, pero te estás acercando a la pared, gira tu rueda izquierda muy lento hacia atrás, y gira tu rueda derecha rápidamente hacia delante",3
-0.9689463334233442,0.8072419729269676,0.626053095995152,-0.09188766314137407,muy lejos,0.948243889038907,acercandose,1.0,rápidamente hacia delante,0.8697345200242398,muy lento hacia atrás,0.9594383157068703,"Cuando estés muy lejos de la pared, pero te estás acercando a ella, gira tu rueda izquierda rápidamente hacia delante, y gira tu rueda derecha muy lento hacia atrás",1
0.9819559641777162,-0.21117745823845735,-0.2397737461874526,-0.2264774855823894,muy cerca,0.9699266069628604,alejandose,1.0,despacito hacia atrás,0.698868730937263,despacito hacia atrás,0.632387427911947,"Cuando estés muy cerca a la pared, pero te estás alejando de ella, gira tu rueda izquierda despacito hacia atrás, y gira tu rueda derecha despacito hacia atrás",15
0.011567198808682788,-0.03652069877887726,0.3072822600689187,0.21899417295087825,ok,0.9710820029782931,sin cambio,0.8173965061056137,despacito hacia delante,0.9635886996554066,despacito hacia delante,0.5949708647543912,"Cuando estés a la distancia requerida, y ni te alejas ni te acercas a ella, gira tu rueda izquierda despacito hacia delante, y gira tu rueda derecha despacito hacia delante.",8
-0.9307292589937576,0.2698263269145933,0.6199582616601705,-0.08402968285375755,muy lejos,0.8845487649895959,acercandose,1.0,rápidamente hacia delante,0.9002086916991472,muy lento hacia atrás,0.9201484142687877,"Cuando estés muy lejos de la pared, pero te estás acercando a ella, gira tu rueda izquierda rápidamente hacia delante, y gira tu rueda derecha muy lento hacia atrás",1
-0.9695487936008513,-0.44626373840698463,0.9291452383626269,-0.500245285851788,muy lejos,0.9492479893347522,alejandose,1.0,muy rápido hacia delante,1.0,más o menos rápido hacia atrás,0.7493867853705303,"Cuando estés muy lejos de la pared, y te estás alejando aun más de ella, gira tu rueda izquierda muy rápido hacia delante, y gira tu rueda derecha más o menos rápido hacia atrás.",11
-0.03872223539079057,-0.02110715719898044,0.34574501187401774,0.23272713916619792,ok,0.9031944115230236,sin cambio,0.8944642140050978,despacito hacia delante,0.7712749406299113,despacito hacia delante,0.6636356958309896,"Cuando estés a la distancia requerida, y ni te alejas ni te acercas a ella, gira tu rueda izquierda despacito hacia delante, y gira tu rueda derecha despacito hacia delante.",8
-0.07330493392596686,-0.005841679891318015,0.3709565075199948,0.19750610793109513,ok,0.8167376651850828,sin cambio,0.97079160054341,despacito hacia delante,0.645217462400026,muy lento hacia delante,0.5124694603445243,"Cuando estés a la distancia requerida, y ni te alejas ni te acercas a ella, gira tu rueda izquierda despacito hacia delante, y gira tu rueda derecha despacito hacia delante.",8
-0.35874236364179535,0.035530262374400774,0.475225699612889,0.025595752363791534,lejos,0.8968559091044883,sin cambio,0.8223486881279961,medio rápido hacia delante,0.876128498064445,muy lento hacia delante,0.6279787618189576,"Cuando estés lejos de la pared, pero ni te alejas más ni te acercas a ella, gira tu rueda izquierda rápidamente hacia delante, y gira tu rueda derecha muy lento hacia atrás.",7
-0.07689141593730424,0.035777761253157715,0.3099420673989671,0.2270102278497387,ok,0.8077714601567394,sin cambio,0.8211111937342114,despacito hacia delante,0.9502896630051644,despacito hacia delante,0.6350511392486935,"Cuando estés a la distancia requerida, y ni te alejas ni te acercas a ella, gira tu rueda izquierda despacito hacia delante, y gira tu rueda derecha despacito hacia delante.",8
-0.33336950556646217,0.5549692842170583,0.4919183279374667,0.026580688135305616,lejos,0.8334237639161555,acercandose,1.0,medio rápido hacia delante,0.9595916396873335,muy lento hacia delante,0.632903440676528,"Cuando estés lejos de la pared, pero te estás acercando a ella, gira tu rueda izquierda medio rápido hacia delante, y gira tu rueda derecha muy lento hacia delante.",2
